
Quadro extraído em 15 de Janeiro de 2025 (22:47:02)
http://www.ine.pt



Período de referência dos dados;Consumo individual por objetivo;Índice harmonizado de preços no consumidor (Taxa de variação média dos últimos 12 meses - Base 2015 - %) por Consumo individual por objetivo -  Mensal;
;Habitação, água, electricidade, gás e outros combustíveis;4,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;-0,9;
;Transportes;4,9;
;Comunicações;-1,7;
;Lazer, recreação e cultura;-0,3;
;Educação;2,7;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;0,6;
Dezembro de 2010;Total;1,4;
;Produtos alimentares e bebidas não alcoólicas;-0,2;
;Bebidas alcoólicas e tabaco;4,4;
;Vestuário e calçado;-1,7;
;Habitação, água, electricidade, gás e outros combustíveis;4,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;-1,3;
;Transportes;4,4;
;Comunicações;-1,9;
;Lazer, recreação e cultura;-0,8;
;Educação;2,8;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;0,5;
Novembro de 2010;Total;1,2;
;Produtos alimentares e bebidas não alcoólicas;-0,9;
;Bebidas alcoólicas e tabaco;4,1;
;Vestuário e calçado;-1,7;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;-1,3;
;Transportes;4,2;
;Comunicações;-1,8;
;Lazer, recreação e cultura;-1,1;
;Educação;2,9;
;Restaurantes e hotéis;1,5;
;Bens e serviços diversos;0,6;
Outubro de 2010;Total;0,9;
;Produtos alimentares e bebidas não alcoólicas;-1,5;
;Bebidas alcoólicas e tabaco;3,8;
;Vestuário e calçado;-1,8;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;-1,4;
;Transportes;3,7;
;Comunicações;-1,6;
;Lazer, recreação e cultura;-1,5;
;Educação;3;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;0,7;
Setembro de 2010;Total;0,6;
;Produtos alimentares e bebidas não alcoólicas;-2,2;
;Bebidas alcoólicas e tabaco;3,6;
;Vestuário e calçado;-1,9;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;-1,5;
;Transportes;3;
;Comunicações;-1,4;
;Lazer, recreação e cultura;-1,8;
;Educação;3,1;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;0,7;
Agosto de 2010;Total;0,3;
;Produtos alimentares e bebidas não alcoólicas;-2,9;
;Bebidas alcoólicas e tabaco;3,4;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;-1,5;
;Transportes;2,3;
;Comunicações;-1,2;
;Lazer, recreação e cultura;-2,3;
;Educação;3,1;
;Restaurantes e hotéis;1,4;
;Bens e serviços diversos;0,8;
Julho de 2010;Total;0;
;Produtos alimentares e bebidas não alcoólicas;-3,6;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-2,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;-1,6;
;Transportes;1,8;
;Comunicações;-1,1;
;Lazer, recreação e cultura;-2,7;
;Educação;3,2;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;0,8;
Junho de 2010;Total;-0,3;
;Produtos alimentares e bebidas não alcoólicas;-4,3;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;-1,8;
;Transportes;1,1;
;Comunicações;-0,9;
;Lazer, recreação e cultura;-2,9;
;Educação;3,2;
;Restaurantes e hotéis;1,6;
;Bens e serviços diversos;0,9;
Maio de 2010;Total;-0,5;
;Produtos alimentares e bebidas não alcoólicas;-4,7;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;-2;
;Habitação, água, electricidade, gás e outros combustíveis;2,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;-1,9;
;Transportes;0,3;
;Comunicações;-0,9;
;Lazer, recreação e cultura;-2,9;
;Educação;3,3;
;Restaurantes e hotéis;1,7;
;Bens e serviços diversos;1,1;
Abril de 2010;Total;-0,7;
;Produtos alimentares e bebidas não alcoólicas;-4,8;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;-1,9;
;Habitação, água, electricidade, gás e outros combustíveis;2,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;-1,9;
;Transportes;-0,7;
;Comunicações;-0,8;
;Lazer, recreação e cultura;-2,9;
;Educação;3,3;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;1,2;
Março de 2010;Total;-0,8;
;Produtos alimentares e bebidas não alcoólicas;-4,6;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;-1,8;
;Habitação, água, electricidade, gás e outros combustíveis;2,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;-1,8;
;Transportes;-1,5;
;Comunicações;-0,7;
;Lazer, recreação e cultura;-2,8;
;Educação;3,4;
;Restaurantes e hotéis;1,9;
;Bens e serviços diversos;1,4;
Fevereiro de 2010;Total;-0,9;
;Produtos alimentares e bebidas não alcoólicas;-4,4;
;Bebidas alcoólicas e tabaco;3,2;
;Vestuário e calçado;-1,7;
;Habitação, água, electricidade, gás e outros combustíveis;2,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;-1,7;
;Transportes;-2,4;
;Comunicações;-0,6;
;Lazer, recreação e cultura;-2,8;
;Educação;3,4;
;Restaurantes e hotéis;2;
;Bens e serviços diversos;1,6;
Janeiro de 2010;Total;-0,9;
;Produtos alimentares e bebidas não alcoólicas;-3,9;
;Bebidas alcoólicas e tabaco;3,1;
;Vestuário e calçado;-1,7;
;Habitação, água, electricidade, gás e outros combustíveis;2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;-1,6;
;Transportes;-3,1;
;Comunicações;-0,8;
;Lazer, recreação e cultura;-2,8;
;Educação;3,4;
;Restaurantes e hotéis;2;
;Bens e serviços diversos;1,7;
Dezembro de 2009;Total;-0,9;
;Produtos alimentares e bebidas não alcoólicas;-3,4;
;Bebidas alcoólicas e tabaco;3,3;
;Vestuário e calçado;-1,7;
;Habitação, água, electricidade, gás e outros combustíveis;2,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,7;
;Saúde;-1,4;
;Transportes;-3,9;
;Comunicações;-1;
;Lazer, recreação e cultura;-2,5;
;Educação;3,5;
;Restaurantes e hotéis;2,1;
;Bens e serviços diversos;1,9;
Novembro de 2009;Total;-0,8;
;Produtos alimentares e bebidas não alcoólicas;-2,8;
;Bebidas alcoólicas e tabaco;3,7;
;Vestuário e calçado;-1,4;
;Habitação, água, electricidade, gás e outros combustíveis;2,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,7;
;Saúde;-1,3;
;Transportes;-4,6;
;Comunicações;-1,2;
;Lazer, recreação e cultura;-2,1;
;Educação;3,5;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;2;
Outubro de 2009;Total;-0,6;
;Produtos alimentares e bebidas não alcoólicas;-2,2;
;Bebidas alcoólicas e tabaco;4;
;Vestuário e calçado;-1,1;
;Habitação, água, electricidade, gás e outros combustíveis;2,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,7;
;Saúde;-1,2;
;Transportes;-4,8;
;Comunicações;-1,5;
;Lazer, recreação e cultura;-1,8;
;Educação;3,5;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;2,1;
Setembro de 2009;Total;-0,3;
;Produtos alimentares e bebidas não alcoólicas;-1,5;
;Bebidas alcoólicas e tabaco;4,3;
;Vestuário e calçado;-0,8;
;Habitação, água, electricidade, gás e outros combustíveis;2,5;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,8;
;Saúde;-1;
;Transportes;-4,5;
;Comunicações;-1,7;
;Lazer, recreação e cultura;-1,3;
;Educação;3,5;
;Restaurantes e hotéis;2,8;
;Bens e serviços diversos;2,3;
Agosto de 2009;Total;0,1;
;Produtos alimentares e bebidas não alcoólicas;-0,6;
;Bebidas alcoólicas e tabaco;4,7;
;Vestuário e calçado;-0,1;
;Habitação, água, electricidade, gás e outros combustíveis;2,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,8;
;Saúde;-0,7;
;Transportes;-3,9;
;Comunicações;-2;
;Lazer, recreação e cultura;-0,8;
;Educação;3,6;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;2,4;
Julho de 2009;Total;0,5;
;Produtos alimentares e bebidas não alcoólicas;0,4;
;Bebidas alcoólicas e tabaco;5;
;Vestuário e calçado;0,2;
;Habitação, água, electricidade, gás e outros combustíveis;2,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;-0,5;
;Transportes;-3,5;
;Comunicações;-2,3;
;Lazer, recreação e cultura;-0,4;
;Educação;3,6;
;Restaurantes e hotéis;3;
;Bens e serviços diversos;2,5;
Junho de 2009;Total;0,8;
;Produtos alimentares e bebidas não alcoólicas;1,4;
;Bebidas alcoólicas e tabaco;5,4;
;Vestuário e calçado;0;
;Habitação, água, electricidade, gás e outros combustíveis;2,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;-0,3;
;Transportes;-2,8;
;Comunicações;-2,5;
;Lazer, recreação e cultura;-0,2;
;Educação;3,7;
;Restaurantes e hotéis;3,1;
;Bens e serviços diversos;2,6;
Maio de 2009;Total;1,3;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;5,7;
;Vestuário e calçado;0,2;
;Habitação, água, electricidade, gás e outros combustíveis;3,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;-0,1;
;Transportes;-2,1;
;Comunicações;-2,5;
;Lazer, recreação e cultura;-0,1;
;Educação;3,8;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;2,6;
Abril de 2009;Total;1,6;
;Produtos alimentares e bebidas não alcoólicas;2,8;
;Bebidas alcoólicas e tabaco;6,1;
;Vestuário e calçado;0,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;0;
;Transportes;-1,2;
;Comunicações;-2,4;
;Lazer, recreação e cultura;0;
;Educação;3,9;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;2,6;
Março de 2009;Total;1,9;
;Produtos alimentares e bebidas não alcoólicas;3,2;
;Bebidas alcoólicas e tabaco;6,4;
;Vestuário e calçado;0,7;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,9;
;Saúde;0;
;Transportes;-0,6;
;Comunicações;-2,3;
;Lazer, recreação e cultura;0,2;
;Educação;3,9;
;Restaurantes e hotéis;3,3;
;Bens e serviços diversos;2,6;
Fevereiro de 2009;Total;2,2;
;Produtos alimentares e bebidas não alcoólicas;3,5;
;Bebidas alcoólicas e tabaco;7,1;
;Vestuário e calçado;0,9;
;Habitação, água, electricidade, gás e outros combustíveis;3,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,8;
;Saúde;0,5;
;Transportes;0,1;
;Comunicações;-2,2;
;Lazer, recreação e cultura;0,4;
;Educação;4;
;Restaurantes e hotéis;3,4;
;Bens e serviços diversos;2,7;
Janeiro de 2009;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;3,7;
;Bebidas alcoólicas e tabaco;7,6;
;Vestuário e calçado;1,3;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,7;
;Saúde;0,9;
;Transportes;0,8;
;Comunicações;-2,2;
;Lazer, recreação e cultura;0,7;
;Educação;4,1;
;Restaurantes e hotéis;3,5;
;Bens e serviços diversos;2,6;
Dezembro de 2008;Total;2,7;
;Produtos alimentares e bebidas não alcoólicas;3,7;
;Bebidas alcoólicas e tabaco;7,5;
;Vestuário e calçado;1,6;
;Habitação, água, electricidade, gás e outros combustíveis;4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;1,4;
;Transportes;1,7;
;Comunicações;-2,1;
;Lazer, recreação e cultura;0,8;
;Educação;4,2;
;Restaurantes e hotéis;3,6;
;Bens e serviços diversos;2,6;
Novembro de 2008;Total;2,8;
;Produtos alimentares e bebidas não alcoólicas;3,7;
;Bebidas alcoólicas e tabaco;7,5;
;Vestuário e calçado;1,9;
;Habitação, água, electricidade, gás e outros combustíveis;4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;1,8;
;Transportes;2,4;
;Comunicações;-2;
;Lazer, recreação e cultura;0,8;
;Educação;4,3;
;Restaurantes e hotéis;3,5;
;Bens e serviços diversos;2,5;
Outubro de 2008;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;3,6;
;Bebidas alcoólicas e tabaco;7,4;
;Vestuário e calçado;2;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;2,2;
;Transportes;3;
;Comunicações;-1,9;
;Lazer, recreação e cultura;0,8;
;Educação;4,3;
;Restaurantes e hotéis;3,4;
;Bens e serviços diversos;2,4;
Setembro de 2008;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;3,5;
;Bebidas alcoólicas e tabaco;7,4;
;Vestuário e calçado;2,2;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;2,7;
;Transportes;3,1;
;Comunicações;-1,8;
;Lazer, recreação e cultura;0,7;
;Educação;4,4;
;Restaurantes e hotéis;3,2;
;Bens e serviços diversos;2,3;
Agosto de 2008;Total;2,8;
;Produtos alimentares e bebidas não alcoólicas;3,3;
;Bebidas alcoólicas e tabaco;7,3;
;Vestuário e calçado;1,9;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;3,3;
;Transportes;2,9;
;Comunicações;-1,7;
;Lazer, recreação e cultura;0,7;
;Educação;4,3;
;Restaurantes e hotéis;3,1;
;Bens e serviços diversos;2,2;
Julho de 2008;Total;2,7;
;Produtos alimentares e bebidas não alcoólicas;3;
;Bebidas alcoólicas e tabaco;7,2;
;Vestuário e calçado;2;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;3,9;
;Transportes;2,7;
;Comunicações;-1,7;
;Lazer, recreação e cultura;0,6;
;Educação;4,2;
;Restaurantes e hotéis;2,9;
;Bens e serviços diversos;2,2;
Junho de 2008;Total;2,7;
;Produtos alimentares e bebidas não alcoólicas;2,7;
;Bebidas alcoólicas e tabaco;7,2;
;Vestuário e calçado;2,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;4,6;
;Transportes;2,4;
;Comunicações;-1,5;
;Lazer, recreação e cultura;0,6;
;Educação;4,1;
;Restaurantes e hotéis;2,8;
;Bens e serviços diversos;2,2;
Maio de 2008;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;7,2;
;Vestuário e calçado;2,6;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;5,3;
;Transportes;2,2;
;Comunicações;-1,6;
;Lazer, recreação e cultura;0,6;
;Educação;4,1;
;Restaurantes e hotéis;2,7;
;Bens e serviços diversos;2,2;
Abril de 2008;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;7,1;
;Vestuário e calçado;2,6;
;Habitação, água, electricidade, gás e outros combustíveis;3,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;6,2;
;Transportes;2,1;
;Comunicações;-1,7;
;Lazer, recreação e cultura;0,6;
;Educação;4;
;Restaurantes e hotéis;2,6;
;Bens e serviços diversos;2,2;
Março de 2008;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;7,1;
;Vestuário e calçado;2,6;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;7,1;
;Transportes;2;
;Comunicações;-1,8;
;Lazer, recreação e cultura;0,6;
;Educação;3,9;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;2,2;
Fevereiro de 2008;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;2,2;
;Bebidas alcoólicas e tabaco;6,1;
;Vestuário e calçado;2,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;7,2;
;Transportes;1,9;
;Comunicações;-1,8;
;Lazer, recreação e cultura;0,5;
;Educação;3,8;
;Restaurantes e hotéis;2,5;
;Bens e serviços diversos;2,3;
Janeiro de 2008;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;5,3;
;Vestuário e calçado;2,3;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;7,4;
;Transportes;1,7;
;Comunicações;-1,8;
;Lazer, recreação e cultura;0,5;
;Educação;3,8;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;2,4;
Dezembro de 2007;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;2,4;
;Bebidas alcoólicas e tabaco;4,9;
;Vestuário e calçado;2,2;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;7,4;
;Transportes;1,5;
;Comunicações;-1,7;
;Lazer, recreação e cultura;0,5;
;Educação;3,7;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;2,5;
Novembro de 2007;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;2,5;
;Bebidas alcoólicas e tabaco;5,1;
;Vestuário e calçado;1,9;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,6;
;Saúde;7,5;
;Transportes;1,4;
;Comunicações;-1,7;
;Lazer, recreação e cultura;0,5;
;Educação;3,7;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;2,6;
Outubro de 2007;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;2,6;
;Bebidas alcoólicas e tabaco;5,3;
;Vestuário e calçado;1,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;7,4;
;Transportes;1,2;
;Comunicações;-1,7;
;Lazer, recreação e cultura;0,4;
;Educação;3,7;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;2,8;
Setembro de 2007;Total;2,4;
;Produtos alimentares e bebidas não alcoólicas;2,7;
;Bebidas alcoólicas e tabaco;5,5;
;Vestuário e calçado;1,8;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,5;
;Saúde;7,1;
;Transportes;1,1;
;Comunicações;-1,6;
;Lazer, recreação e cultura;0,3;
;Educação;3,6;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;3;
Agosto de 2007;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;2,8;
;Bebidas alcoólicas e tabaco;5,7;
;Vestuário e calçado;2,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,4;
;Saúde;6,5;
;Transportes;1,3;
;Comunicações;-1,5;
;Lazer, recreação e cultura;0,2;
;Educação;3,9;
;Restaurantes e hotéis;2,4;
;Bens e serviços diversos;3,1;
Julho de 2007;Total;2,5;
;Produtos alimentares e bebidas não alcoólicas;3;
;Bebidas alcoólicas e tabaco;5,9;
;Vestuário e calçado;2;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,4;
;Saúde;5,9;
;Transportes;1,7;
;Comunicações;-1,4;
;Lazer, recreação e cultura;0,2;
;Educação;4;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;3,2;
Junho de 2007;Total;2,6;
;Produtos alimentares e bebidas não alcoólicas;3,1;
;Bebidas alcoólicas e tabaco;6,1;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;5,3;
;Transportes;2,2;
;Comunicações;-1,3;
;Lazer, recreação e cultura;0,3;
;Educação;4,2;
;Restaurantes e hotéis;2,3;
;Bens e serviços diversos;3,3;
Maio de 2007;Total;2,7;
;Produtos alimentares e bebidas não alcoólicas;3,3;
;Bebidas alcoólicas e tabaco;6,3;
;Vestuário e calçado;1,1;
;Habitação, água, electricidade, gás e outros combustíveis;3,6;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,3;
;Saúde;4,5;
;Transportes;2,7;
;Comunicações;-1,3;
;Lazer, recreação e cultura;0,4;
;Educação;4,4;
;Restaurantes e hotéis;2,2;
;Bens e serviços diversos;3,5;
Abril de 2007;Total;2,8;
;Produtos alimentares e bebidas não alcoólicas;3,3;
;Bebidas alcoólicas e tabaco;6,5;
;Vestuário e calçado;1;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,2;
;Saúde;3,8;
;Transportes;3,3;
;Comunicações;-1,1;
;Lazer, recreação e cultura;0,5;
;Educação;4,6;
;Restaurantes e hotéis;2,2;
;Bens e serviços diversos;3,6;
Março de 2007;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;3,2;
;Bebidas alcoólicas e tabaco;6,7;
;Vestuário e calçado;1,4;
;Habitação, água, electricidade, gás e outros combustíveis;3,7;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;3;
;Transportes;3,8;
;Comunicações;-1;
;Lazer, recreação e cultura;0,6;
;Educação;4,8;
;Restaurantes e hotéis;2,2;
;Bens e serviços diversos;3,6;
Fevereiro de 2007;Total;3;
;Produtos alimentares e bebidas não alcoólicas;3;
;Bebidas alcoólicas e tabaco;7,5;
;Vestuário e calçado;2,3;
;Habitação, água, electricidade, gás e outros combustíveis;3,8;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1;
;Saúde;2,4;
;Transportes;4,3;
;Comunicações;-0,9;
;Lazer, recreação e cultura;0,7;
;Educação;5;
;Restaurantes e hotéis;2,1;
;Bens e serviços diversos;3,5;
Janeiro de 2007;Total;3;
;Produtos alimentares e bebidas não alcoólicas;2,9;
;Bebidas alcoólicas e tabaco;8,2;
;Vestuário e calçado;1,7;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1;
;Saúde;2;
;Transportes;5;
;Comunicações;-0,9;
;Lazer, recreação e cultura;0,7;
;Educação;5,1;
;Restaurantes e hotéis;2;
;Bens e serviços diversos;3,5;
Dezembro de 2006;Total;3;
;Produtos alimentares e bebidas não alcoólicas;2,7;
;Bebidas alcoólicas e tabaco;9,3;
;Vestuário e calçado;0,6;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1;
;Saúde;1,5;
;Transportes;5,6;
;Comunicações;-0,9;
;Lazer, recreação e cultura;0,8;
;Educação;5,2;
;Restaurantes e hotéis;2;
;Bens e serviços diversos;3,4;
Novembro de 2006;Total;3;
;Produtos alimentares e bebidas não alcoólicas;2,5;
;Bebidas alcoólicas e tabaco;9;
;Vestuário e calçado;0,5;
;Habitação, água, electricidade, gás e outros combustíveis;3,9;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1;
;Saúde;1;
;Transportes;5,9;
;Comunicações;-0,9;
;Lazer, recreação e cultura;0,9;
;Educação;5,4;
;Restaurantes e hotéis;1,9;
;Bens e serviços diversos;3,2;
Outubro de 2006;Total;3,1;
;Produtos alimentares e bebidas não alcoólicas;2,3;
;Bebidas alcoólicas e tabaco;8,7;
;Vestuário e calçado;0,5;
;Habitação, água, electricidade, gás e outros combustíveis;4;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;0,7;
;Transportes;6,3;
;Comunicações;-0,9;
;Lazer, recreação e cultura;1,1;
;Educação;5,7;
;Restaurantes e hotéis;1,9;
;Bens e serviços diversos;3,1;
Setembro de 2006;Total;3,1;
;Produtos alimentares e bebidas não alcoólicas;2;
;Bebidas alcoólicas e tabaco;8,4;
;Vestuário e calçado;0;
;Habitação, água, electricidade, gás e outros combustíveis;4,1;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;0,5;
;Transportes;6,9;
;Comunicações;-0,9;
;Lazer, recreação e cultura;1,1;
;Educação;6;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;2,9;
Agosto de 2006;Total;3;
;Produtos alimentares e bebidas não alcoólicas;1,7;
;Bebidas alcoólicas e tabaco;8;
;Vestuário e calçado;-0,7;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;0,5;
;Transportes;7,4;
;Comunicações;-0,9;
;Lazer, recreação e cultura;1,2;
;Educação;6,1;
;Restaurantes e hotéis;1,8;
;Bens e serviços diversos;2,8;
Julho de 2006;Total;3;
;Produtos alimentares e bebidas não alcoólicas;1,4;
;Bebidas alcoólicas e tabaco;7,7;
;Vestuário e calçado;-0,5;
;Habitação, água, electricidade, gás e outros combustíveis;4,2;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;0,4;
;Transportes;7,5;
;Comunicações;-0,8;
;Lazer, recreação e cultura;1,2;
;Educação;6,2;
;Restaurantes e hotéis;1,9;
;Bens e serviços diversos;2,7;
Junho de 2006;Total;2,9;
;Produtos alimentares e bebidas não alcoólicas;1;
;Bebidas alcoólicas e tabaco;7,3;
;Vestuário e calçado;-0,4;
;Habitação, água, electricidade, gás e outros combustíveis;4,3;
;Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação;1,1;
;Saúde;0,5;
;Transportes;7,6;
;Comunicações;-0,8;
;Lazer, recreação e cultura;1,3;
;Educação;6,3;
;Restaurantes e hotéis;1,9;
;Bens e serviços diversos;2,6;
Maio de 2006;Total;2,7;
;Produtos alimentares e bebidas não alcoólicas;0,5;
;Bebidas alcoólicas e tabaco;6,9;
;Vestuário e calçado;-0,5;
